lon,lat,elev,exp,slope,veg
665.4350537,971.7563208,487,162,0,1
668.9453462,971.7563208,487,108,0,1
672.4556387,971.7563208,485,55,9,1
675.9659312,971.7563208,444,193,9,1
679.4762237,971.7563208,455,314,5,1
682.9865162,971.7563208,518,270,0,1
686.4968087,971.7563208,533,318,4,1
690.0071012,971.7563208,489,70,2,1
693.5173937,971.7563208,233,150,11,1
697.0276862,971.7563208,183,-1,0,1
700.5379787,971.7563208,205,9,5,1
704.0482712,971.7563208,345,214,26,1
707.5585637,971.7563208,429,275,3,1
711.0688562,971.7563208,548,-1,0,1
714.5791487,971.7563208,548,315,0,1
718.0894412,971.7563208,518,83,14,1
721.5997337,971.7563208,195,-1,0,1
725.1100262,971.7563208,304,225,0,1
728.6203187,971.7563208,669,18,4,1
732.1306112,971.7563208,710,322,14,1
735.6409037,971.7563208,762,90,0,1
658.4144687,969.2118558,480,184,5,1
661.9247612,969.2118558,426,147,3,1
665.4350537,969.2118558,349,145,14,1
668.9453462,969.2118558,345,293,15,1
672.4556387,969.2118558,365,-1,0,1
675.9659312,969.2118558,426,319,4,1
679.4762237,969.2118558,426,-1,0,1
682.9865162,969.2118558,427,45,0,1
686.4968087,969.2118558,485,185,5,1
690.0071012,969.2118558,235,71,17,1
693.5173937,969.2118558,310,336,9,1
697.0276862,969.2118558,425,228,2,1
700.5379787,969.2118558,526,189,6,1
704.0482712,969.2118558,495,33,5,1
707.5585637,969.2118558,224,188,6,1
711.0688562,969.2118558,190,156,3,1
714.5791487,969.2118558,208,8,9,1
718.0894412,969.2118558,215,342,7,1
721.5997337,969.2118558,508,351,11,1
725.1100262,969.2118558,312,245,14,1
728.6203187,969.2118558,608,257,1,1
732.1306112,969.2118558,731,205,1,1
735.6409037,969.2118558,732,48,7,1
739.1511962,969.2118558,792,221,3,1
658.4144687,966.6673908,410,70,9,1
661.9247612,966.6673908,281,126,16,1
665.4350537,966.6673908,427,315,0,1
668.9453462,966.6673908,456,10,4,1
672.4556387,966.6673908,427,326,0,1
675.9659312,966.6673908,487,18,0,1
679.4762237,966.6673908,487,-1,0,1
682.9865162,966.6673908,487,215,4,1
686.4968087,966.6673908,364,270,0,1
690.0071012,966.6673908,176,239,0,7
693.5173937,966.6673908,407,312,9,1
697.0276862,966.6673908,486,338,3,1
700.5379787,966.6673908,501,37,7,1
704.0482712,966.6673908,519,244,9,1
707.5585637,966.6673908,556,189,6,1
711.0688562,966.6673908,608,169,0,1
714.5791487,966.6673908,603,156,2,1
718.0894412,966.6673908,411,27,14,1
721.5997337,966.6673908,673,43,3,1
725.1100262,966.6673908,464,46,44,1
728.6203187,966.6673908,201,0,0,1
732.1306112,966.6673908,519,225,24,1
735.6409037,966.6673908,789,268,2,1
739.1511962,966.6673908,762,247,0,1
654.9041762,964.1229258,427,107,2,1
658.4144687,964.1229258,255,138,16,1
661.9247612,964.1229258,426,358,1,1
665.4350537,964.1229258,448,166,4,1
668.9453462,964.1229258,487,225,0,1
672.4556387,964.1229258,487,236,0,1
675.9659312,964.1229258,487,275,1,1
679.4762237,964.1229258,243,80,3,1
682.9865162,964.1229258,225,145,6,1
686.4968087,964.1229258,189,146,2,7
690.0071012,964.1229258,367,333,0,9
693.5173937,964.1229258,304,135,0,1
697.0276862,964.1229258,329,195,11,1
700.5379787,964.1229258,430,168,4,1
704.0482712,964.1229258,435,104,9,1
707.5585637,964.1229258,467,137,15,1
711.0688562,964.1229258,549,262,2,1
714.5791487,964.1229258,548,-1,0,1
718.0894412,964.1229258,669,151,13,1
721.5997337,964.1229258,727,62,10,1
725.1100262,964.1229258,620,55,14,1
728.6203187,964.1229258,545,63,14,1
732.1306112,964.1229258,237,307,5,1
735.6409037,964.1229258,480,218,24,1
739.1511962,964.1229258,792,257,1,1
651.3938837,961.5784608,426,135,0,1
654.9041762,961.5784608,227,154,1,1
658.4144687,961.5784608,371,325,8,9
661.9247612,961.5784608,426,90,0,9
665.4350537,961.5784608,420,78,5,9
668.9453462,961.5784608,365,306,1,9
672.4556387,961.5784608,334,57,12,9
675.9659312,961.5784608,426,-1,0,1
679.4762237,961.5784608,230,275,3,9
682.9865162,961.5784608,357,167,9,1
686.4968087,961.5784608,306,69,2,1
690.0071012,961.5784608,270,352,8,1
693.5173937,961.5784608,365,225,0,1
697.0276862,961.5784608,306,219,6,1
700.5379787,961.5784608,470,2,4,1
704.0482712,961.5784608,526,19,5,1
707.5585637,961.5784608,426,285,5,1
711.0688562,961.5784608,579,352,0,1
714.5791487,961.5784608,488,196,7,1
718.0894412,961.5784608,606,5,4,1
721.5997337,961.5784608,729,212,2,1
725.1100262,961.5784608,731,-1,0,1
728.6203187,961.5784608,731,180,0,1
732.1306112,961.5784608,211,219,4,1
735.6409037,961.5784608,597,216,14,1
739.1511962,961.5784608,607,360,26,1
742.6614887,961.5784608,770,237,5,1
644.3732987,959.0339958,299,203,3,9
647.8835912,959.0339958,334,261,11,9
651.3938837,959.0339958,425,288,4,9
654.9041762,959.0339958,179,110,13,9
658.4144687,959.0339958,248,208,6,7
661.9247612,959.0339958,167,342,4,9
665.4350537,959.0339958,176,29,3,1
668.9453462,959.0339958,194,350,6,1
672.4556387,959.0339958,180,19,8,9
675.9659312,959.0339958,170,342,0,1
679.4762237,959.0339958,368,44,5,1
682.9865162,959.0339958,394,88,11,1
686.4968087,959.0339958,367,60,1,1
690.0071012,959.0339958,245,17,6,1
693.5173937,959.0339958,307,267,15,1
697.0276862,959.0339958,366,90,2,1
700.5379787,959.0339958,426,315,0,1
704.0482712,959.0339958,487,82,0,1
707.5585637,959.0339958,427,63,0,1
711.0688562,959.0339958,452,0,19,1
714.5791487,959.0339958,482,24,8,1
718.0894412,959.0339958,615,266,5,1
